,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
172,0,0,2,-1,4,1,0,12,15
173,0,2,5,2,2,2,-1,15,6
174,2,0,5,7,6,7,1,6,19
175,0,2,-15,-12,-11,-12,-1,19,14
176,2,2,12,10,7,9,0,14,7
177,2,3,-4,-5,-6,-5,-1,7,16
178,3,0,3,4,6,4,1,16,9
179,0,0,7,3,3,3,0,9,5
180,0,2,-10,-3,-2,-3,-1,5,8
181,2,0,4,0,0,0,1,8,18
182,0,2,-6,-3,-4,-4,-1,18,21
183,2,2,2,3,4,4,0,21,8
184,2,0,2,-4,-3,-3,1,8,6
185,0,5,1,4,2,3,-1,6,9
186,5,0,-2,-2,-2,-1,1,9,23
187,0,1,6,7,6,6,-1,23,13
188,1,2,-15,-14,-11,-13,-1,13,14
189,2,4,6,6,4,4,-1,14,21
190,4,1,2,-1,-3,0,1,21,16
191,4,1,2,-1,-3,0,1,21,16
192,4,1,2,-1,-3,0,1,21,16
193,4,1,2,-1,-3,0,1,21,16
194,1,1,4,5,6,5,0,16,7
195,1,1,4,5,6,5,0,16,7
196,1,1,4,5,6,5,0,16,7
197,1,1,4,5,6,5,0,16,7
198,1,2,-9,-6,-8,-7,-1,7,12
199,2,1,7,5,6,6,1,12,4
200,1,1,8,3,5,3,0,4,5
201,1,0,-13,-9,-7,-8,1,5,15
202,1,0,-13,-9,-7,-8,1,5,15
203,1,0,-13,-9,-7,-8,1,5,15
204,1,0,-13,-9,-7,-8,1,5,15
205,0,3,7,8,6,7,-1,15,0
206,3,1,3,1,2,2,1,0,19
207,1,0,-3,-2,-4,-3,1,19,3
208,0,1,0,-1,0,0,-1,3,24
209,1,1,0,0,1,-1,0,24,18
210,1,1,-7,-2,-4,-3,0,18,2
211,1,0,0,-5,-2,-2,1,2,1
212,0,3,3,7,6,5,-1,1,8
213,3,0,0,-4,-7,-4,1,8,16
214,0,1,-2,1,3,0,-1,16,21
215,0,1,-2,1,3,0,-1,16,21
216,0,1,-2,1,3,0,-1,16,21
217,0,1,-2,1,3,0,-1,16,21
218,1,2,3,1,1,3,-1,21,23
219,2,2,1,2,0,1,0,23,4
220,2,1,2,1,2,1,1,4,3
221,1,0,0,0,0,0,1,3,7
222,1,0,0,0,0,0,1,3,7
223,1,0,0,0,0,0,1,3,7
224,1,0,0,0,0,0,1,3,7
225,0,2,0,1,2,1,-1,7,0
226,2,5,-1,-2,-2,-2,-1,0,9
227,5,0,1,0,1,0,1,9,18
228,0,0,3,3,3,4,0,18,19
229,0,2,-12,-8,-12,-10,-1,19,12
230,2,1,2,3,5,3,1,12,2
231,1,0,-5,-7,-4,-5,1,2,14
232,0,2,5,3,3,3,-1,14,15
233,2,1,5,2,2,2,1,15,6
234,1,1,2,4,2,4,0,6,24
235,1,0,6,3,3,2,1,24,5
236,0,3,-3,2,1,2,-1,5,13
237,3,4,-10,-12,-9,-10,-1,13,1
238,4,2,7,9,7,7,1,1,0
239,2,2,-7,-4,-5,-5,0,0,2
240,2,3,5,-2,1,0,-1,2,6
241,3,2,0,4,0,3,1,6,4
242,2,4,-7,-5,-6,-6,-1,4,12
243,4,3,8,5,8,6,1,12,9
244,3,1,-2,-2,-2,-1,1,9,23
245,1,1,3,3,2,2,0,23,7
246,1,3,-12,-10,-7,-9,-1,7,14
247,3,3,6,6,4,4,0,14,21
248,3,2,-1,-4,-2,-1,1,21,1
249,2,1,7,7,5,6,1,1,24
250,2,1,7,7,5,6,1,1,24
251,2,1,7,7,5,6,1,1,24
252,2,1,7,7,5,6,1,1,24
253,1,3,0,1,0,0,-1,24,3
254,3,1,3,4,4,4,1,3,13
255,1,5,3,-2,-1,-2,-1,13,5
256,5,0,-3,0,1,1,1,5,19
257,0,0,-3,-3,-3,-4,0,19,18
258,0,1,-4,0,0,0,-1,18,8
259,1,1,0,-4,-7,-4,0,8,16
260,1,0,-3,-2,2,-1,1,16,15
261,0,3,6,6,4,5,-1,15,9
262,3,2,1,0,0,1,1,9,24
263,2,1,-6,-3,-3,-5,1,24,21
264,2,1,-6,-3,-3,-5,1,24,21
265,2,1,-6,-3,-3,-5,1,24,21
266,2,1,-6,-3,-3,-5,1,24,21
267,1,2,-1,1,0,1,-1,21,2
268,2,0,3,2,4,3,1,2,8
269,0,3,-3,-6,-5,-5,-1,8,15
270,3,1,-5,-3,-3,-3,1,15,14
271,1,1,3,4,-1,2,0,14,12
272,1,1,15,8,11,9,0,12,5
273,1,2,-9,-5,-5,-4,-1,5,23
274,2,2,6,7,6,6,0,23,13
275,2,1,-3,-4,-4,-4,1,13,7
276,1,4,-4,-5,-6,-5,-1,7,16
277,4,1,2,0,4,1,1,16,6
278,1,2,2,4,3,3,-1,6,18
279,2,3,-2,0,-3,0,-1,18,4
280,3,1,5,3,6,4,1,4,19
281,1,3,-3,-1,-2,-2,-1,19,0
282,3,0,0,-1,-2,-1,1,0,3
283,0,1,-7,-8,-5,-6,-1,3,1
284,1,3,0,5,2,2,-1,1,2
285,3,1,6,2,3,3,1,2,9
286,1,1,-1,0,-2,0,0,9,4
287,1,1,5,3,6,4,0,4,19
288,1,3,-12,-8,-12,-10,-1,19,12
289,3,0,9,6,8,7,1,12,3
290,3,0,9,6,8,7,1,12,3
291,3,0,9,6,8,7,1,12,3
292,3,0,9,6,8,7,1,12,3
293,0,3,-3,-3,-2,-2,-1,3,23
294,3,2,3,2,3,1,1,23,18
295,2,4,-2,-4,-3,-3,-1,18,6
296,4,4,-10,-5,-5,-5,0,6,14
297,4,2,12,9,7,9,1,14,24
298,1,3,-1,-4,-2,-1,-1,21,1
299,3,1,13,10,8,8,1,1,5
300,1,2,-6,-2,-3,-2,-1,5,7
301,2,3,-4,-1,1,-1,-1,7,8
302,3,1,-3,-6,-5,-5,1,8,15
303,1,0,10,11,8,10,1,15,13
304,0,2,-3,-3,-2,-3,-1,13,0
305,2,0,-4,-6,-8,-6,1,0,16
306,1,4,4,-1,1,1,-1,21,6
307,4,2,2,4,3,3,1,6,18
308,2,0,-7,-2,-4,-3,1,18,2
309,0,1,10,7,7,8,-1,2,13
310,1,1,-12,-10,-12,-11,0,13,12
311,1,0,8,5,8,6,1,12,9
